query;position;label1;label2
1;1;RELEVANT;SOMEWHAT_RELEVANT
1;2;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
1;3;IRRELEVANT;RELEVANT
1;4;RELEVANT;IRRELEVANT
1;5;IRRELEVANT;IRRELEVANT
1;6;RELEVANT;RELEVANT
1;7;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
1;8;RELEVANT;SOMEWHAT_RELEVANT
1;9;SOMEWHAT_RELEVANT;RELEVANT
1;10;IRRELEVANT;IRRELEVANT
2;1;RELEVANT;SOMEWHAT_RELEVANT
2;2;RELEVANT;RELEVANT
2;3;IRRELEVANT;SOMEWHAT_RELEVANT
2;4;RELEVANT;IRRELEVANT
2;5;RELEVANT;SOMEWHAT_RELEVANT
2;6;IRRELEVANT;RELEVANT
2;7;IRRELEVANT;RELEVANT
2;8;IRRELEVANT;SOMEWHAT_RELEVANT
2;9;RELEVANT;IRRELEVANT
2;10;SOMEWHAT_RELEVANT;IRRELEVANT
3;1;RELEVANT;RELEVANT
3;2;RELEVANT;SOMEWHAT_RELEVANT
3;3;SOMEWHAT_RELEVANT;RELEVANT
3;4;RELEVANT;RELEVANT
3;5;RELEVANT;RELEVANT
3;6;RELEVANT;SOMEWHAT_RELEVANT
3;7;SOMEWHAT_RELEVANT;RELEVANT
3;8;SOMEWHAT_RELEVANT;IRRELEVANT
3;9;IRRELEVANT;IRRELEVANT
3;10;IRRELEVANT;IRRELEVANT
4;1;RELEVANT;SOMEWHAT_RELEVANT
4;2;SOMEWHAT_RELEVANT;RELEVANT
4;3;RELEVANT;RELEVANT
4;4;SOMEWHAT_RELEVANT;IRRELEVANT
4;5;RELEVANT;RELEVANT
4;6;IRRELEVANT;SOMEWHAT_RELEVANT
4;7;SOMEWHAT_RELEVANT;RELEVANT
4;8;RELEVANT;IRRELEVANT
4;9;SOMEWHAT_RELEVANT;RELEVANT
4;10;RELEVANT;RELEVANT
5;1;SOMEWHAT_RELEVANT;SOMEWHAT_RELEVANT
5;2;IRRELEVANT;SOMEWHAT_RELEVANT
5;3;SOMEWHAT_RELEVANT;RELEVANT
5;4;IRRELEVANT;IRRELEVANT
5;5;SOMEWHAT_RELEVANT;RELEVANT
5;6;RELEVANT;SOMEWHAT_RELEVANT
5;7;SOMEWHAT_RELEVANT;IRRELEVANT
5;8;SOMEWHAT_RELEVANT;RELEVANT
5;9;SOMEWHAT_RELEVANT;IRRELEVANT
5;10;RELEVANT;SOMEWHAT_RELEVANT
6;1;IRRELEVANT;SOMEWHAT_RELEVANT
6;2;IRRELEVANT;RELEVANT
6;3;IRRELEVANT;RELEVANT
6;4;RELEVANT;SOMEWHAT_RELEVANT
6;5;RELEVANT;IRRELEVANT
